dispm,velm,accm,displ,vell,accl,act,wspd,next_wspd
0.00011821464558898611,0.0001610840956949881,0.0015062055508569248,0.00010138922585871257,-9.974359150022056e-06,-9.838818263570575e-05,80.0,2.508,3.08
0.0001162721767843031,0.00018135333593195544,0.0014596316399720704,9.675385221804474e-05,-6.672457932149089e-06,-3.755479951206364e-05,100.0,2.508,3.08
0.00012253074112850655,0.00020027610561217004,0.0013935531921267137,9.775594891036798e-05,-8.928704262903806e-06,-2.2148642929038186e-05,120.0,2.508,3.08
0.0001303443626896444,0.0002178946778102915,0.0014075263399594812,0.00010071632753962611,-1.2743879623588604e-05,-1.3254218710759451e-05,140.0,2.508,3.08
0.00013802046407977,0.0002344347205373283,0.0014493937167698039,0.00010471718555550388,-1.6731773507614296e-05,-6.630782034217443e-06,160.0,2.508,3.08
0.0001450244121307311,0.00025010183038756234,0.0015062240953357042,0.00010989190488844711,-2.1068177824488487e-05,-1.1467902464181894e-06,180.0,2.508,3.08
0.0001518616784165009,0.0002654666218741286,0.0015799035239133432,0.00011561712687523206,-2.4997569840589013e-05,2.762932504471566e-06,200.0,2.508,3.08
0.0002062651014116807,0.00047070317296865654,0.0016616068276231423,-3.38425687693954e-05,2.584072506895305e-05,4.3281501970165075e-05,0.0,2.992,2.508
0.0001107622090880699,0.00019721580607963123,0.0005046603060276268,-3.896027578008728e-05,8.011109341043705e-05,-4.357628385751595e-06,20.0,2.992,2.508
0.0001084340204592736,0.00018291635421757496,0.0005444722895096639,-4.722507439901974e-05,7.608177407059097e-05,1.41921078919502e-05,40.0,2.992,2.508
0.00011852792053647659,0.00019783230409478944,0.0006644912359502667,-5.420301210174102e-05,6.986562886095659e-05,3.585630984228461e-05,60.0,2.992,2.508
0.00012892787927029623,0.00021532495363788245,0.0007664250940917864,-5.878368770661775e-05,6.33301333088862e-05,4.19302094125761e-05,80.0,2.992,2.508
0.0001385093329002175,0.0002334224529237163,0.0008338747196151029,-6.258712979613078e-05,5.872867602341105e-05,4.0922673428668324e-05,100.0,2.992,2.508
0.000147026895506598,0.0002521861173021864,0.0008897061997891394,-6.64150223573651e-05,5.591646309661188e-05,3.7599262442723244e-05,120.0,2.992,2.508
0.00015477904486212645,0.0002699768219318584,0.0009455061848490118,-7.067535054654883e-05,5.459013126885091e-05,3.335503771599184e-05,140.0,2.992,2.508
0.00016193166302828685,0.0002859063534503436,0.0010072214871351575,-7.543963511949006e-05,5.420861008706066e-05,2.9201724448204913e-05,160.0,2.992,2.508
0.0001684094086316217,0.0003011021020507724,0.0010759992158732386,-8.086330629581338e-05,5.4631724978632546e-05,2.5187001235235033e-05,180.0,2.992,2.508
0.0001742807994433143,0.0003157383873362108,0.001154110580116057,-8.684765181230422e-05,5.55034319026439e-05,2.1609770322283906e-05,200.0,2.992,2.508
0.00016126158567822876,0.0004048703104435963,0.0012504081862148779,9.639822054151786e-05,1.1015971912507603e-05,-4.193860382882053e-05,0.0,3.2560000000000002,2.992
0.00016397990574297695,0.000287371266864277,0.0013922353811436972,9.689486087190467e-05,-2.3187483884591555e-06,-4.459840178225852e-05,20.0,3.2560000000000002,2.992
0.00014703015333155303,0.00021929829936213882,0.0013965197170642345,9.421136839875532e-05,2.7956242840920754e-06,-8.888650780426528e-06,40.0,3.2560000000000002,2.992
0.00013661800490683603,0.00017992151054130003,0.0013589565969388641,9.504352207517281e-05,-7.300671240708837e-06,1.231825292812524e-05,60.0,3.2560000000000002,2.992
0.00013100970226657765,0.00020460990946968236,0.0013687936324626277,9.945804671501656e-05,-1.925475851133877e-05,2.9606342788106515e-05,80.0,3.2560000000000002,2.992
0.00013845527000614472,0.00022732342340558984,0.0014298788091029063,0.00010646481408632167,-3.076600759048648e-05,4.004432360946377e-05,100.0,3.2560000000000002,2.992
0.00014736635218107563,0.0002483937696625462,0.001528430058991164,0.00011482020157280248,-4.008987523088884e-05,4.44341405292202e-05,120.0,3.2560000000000002,2.992
0.0001556773690988629,0.00026819448892171933,0.001646893184364916,0.0001246848078715066,-4.880215825271044e-05,4.7231109894002456e-05,140.0,3.2560000000000002,2.992
0.00016332177367638106,0.0002869676945889573,0.0017872472507064602,0.0001352976331516273,-5.611997828320399e-05,4.768941615911054e-05,160.0,3.2560000000000002,2.992
0.00017035762844124893,0.0003045816078130437,0.0019386882160196467,0.00014627114637597082,-6.208896568831248e-05,4.5988935318088694e-05,180.0,3.2560000000000002,2.992
0.0001765246419039281,0.00032036549848866384,0.002095618865055776,0.00015777608692158052,-6.718991926675256e-05,4.0418324005064564e-05,200.0,3.2560000000000002,2.992
0.00022544482382090265,0.0006124686572973548,0.0022603960875328733,-8.363190663071796e-05,-4.0228889733147355e-05,4.7467115159857634e-05,0.0,2.156,3.2560000000000002
0.000136565985797668,0.00030396494467903307,0.0012580097607178514,-8.438294411697661e-05,2.3295630582358926e-05,1.636072632357506e-05,20.0,2.156,3.2560000000000002
0.00011952743762864956,0.00023024846288711263,0.0012116186224869032,-8.589426102692971e-05,2.3330585158816606e-05,4.885823811462091e-06,40.0,2.156,3.2560000000000002
