,state,state_p,act,r_disp,s,s_p
13653,"(1e-06, 1.76)","(1e-06, 1.936)",140.0,1.556168,10426,10487
13654,"(3e-06, 1.76)","(3e-06, 1.936)",150.0,1.506818,3198,3259
13655,"(6e-06, 1.76)","(6e-06, 1.936)",160.0,1.459823,6534,6595
13656,"(8e-06, 1.76)","(8e-06, 1.936)",170.0,1.402179,27662,27723
13657,"(1e-05, 1.76)","(1e-05, 1.936)",180.0,1.36,19739,19800
13658,"(1.1e-05, 1.76)","(1.1e-05, 1.936)",190.0,1.319634,2225,2286
13659,"(1.3e-05, 1.76)","(1.3e-05, 1.936)",200.0,1.280952,23214,23275
13660,"(3.6e-05, 1.76)","(3.6e-05, 1.936)",10.0,1.192279,9592,9653
13661,"(3.6e-05, 1.76)","(3.6e-05, 1.936)",20.0,1.303433,9592,9653
13662,"(3.5e-05, 1.76)","(3.5e-05, 1.936)",30.0,1.404355,27801,27862
13663,"(3.4e-05, 1.76)","(3.4e-05, 1.936)",40.0,1.537522,16681,16742
13664,"(3.2e-05, 1.76)","(3.2e-05, 1.936)",50.0,1.589679,24465,24526
13665,"(2.9e-05, 1.76)","(2.9e-05, 1.936)",60.0,1.57,20990,21051
13666,"(2.5e-05, 1.76)","(2.5e-05, 1.936)",70.0,1.565,7507,7568
13667,"(2e-05, 1.76)","(2e-05, 1.936)",80.0,1.56,11538,11599
13668,"(1.6e-05, 1.76)","(1.6e-05, 1.936)",90.0,1.569679,26550,26611
13669,"(1.2e-05, 1.76)","(1.2e-05, 1.936)",100.0,1.57963,12511,12572
13670,"(7e-06, 1.76)","(7e-06, 1.936)",110.0,1.58986,16542,16603
13671,"(4e-06, 1.76)","(4e-06, 1.936)",120.0,1.600377,13484,13545
13672,"(1e-06, 1.76)","(1e-06, 1.936)",130.0,1.627308,10426,10487
13673,"(1e-06, 1.76)","(1e-06, 1.936)",140.0,1.57486,10426,10487
13674,"(3e-06, 1.76)","(3e-06, 1.936)",150.0,1.525,3198,3259
13675,"(6e-06, 1.76)","(6e-06, 1.936)",160.0,1.477522,6534,6595
13676,"(8e-06, 1.76)","(8e-06, 1.936)",170.0,1.419274,27662,27723
13677,"(1e-05, 1.76)","(1e-05, 1.936)",180.0,1.376667,19739,19800
13678,"(1.1e-05, 1.76)","(1.1e-05, 1.936)",190.0,1.335894,2225,2286
13679,"(1.3e-05, 1.76)","(1.3e-05, 1.936)",200.0,1.296825,23214,23275
13680,"(3.6e-05, 1.76)","(3.6e-05, 1.936)",10.0,1.19363,9592,9653
13681,"(3.6e-05, 1.76)","(3.6e-05, 1.936)",20.0,1.305789,9592,9653
13682,"(3.5e-05, 1.76)","(3.5e-05, 1.936)",30.0,1.407764,27801,27862
13683,"(3.4e-05, 1.76)","(3.4e-05, 1.936)",40.0,1.528673,16681,16742
13684,"(3.2e-05, 1.76)","(3.2e-05, 1.936)",50.0,1.580505,24465,24526
13685,"(2.9e-05, 1.76)","(2.9e-05, 1.936)",60.0,1.560909,20990,21051
13686,"(2.5e-05, 1.76)","(2.5e-05, 1.936)",70.0,1.555909,7507,7568
13687,"(2e-05, 1.76)","(2e-05, 1.936)",80.0,1.550909,11538,11599
13688,"(1.6e-05, 1.76)","(1.6e-05, 1.936)",90.0,1.560505,26550,26611
13689,"(1.2e-05, 1.76)","(1.2e-05, 1.936)",100.0,1.57037,12511,12572
13690,"(7e-06, 1.76)","(7e-06, 1.936)",110.0,1.580514,16542,16603
13691,"(4e-06, 1.76)","(4e-06, 1.936)",120.0,1.590943,13484,13545
13692,"(1e-06, 1.76)","(1e-06, 1.936)",130.0,1.617692,10426,10487
13693,"(1e-06, 1.76)","(1e-06, 1.936)",140.0,1.565514,10426,10487
13694,"(3e-06, 1.76)","(3e-06, 1.936)",150.0,1.515909,3198,3259
13695,"(6e-06, 1.76)","(6e-06, 1.936)",160.0,1.468673,6534,6595
13696,"(8e-06, 1.76)","(8e-06, 1.936)",170.0,1.410726,27662,27723
13697,"(1e-05, 1.76)","(1e-05, 1.936)",180.0,1.368333,19739,19800
13698,"(1.1e-05, 1.76)","(1.1e-05, 1.936)",190.0,1.327764,2225,2286
13699,"(1.3e-05, 1.76)","(1.3e-05, 1.936)",200.0,1.288889,23214,23275
13700,"(4.9e-05, 1.936)","(4.9e-05, 2.332)",10.0,1.077707,4510,4574
13701,"(5.2e-05, 1.936)","(5.2e-05, 2.332)",20.0,1.142,7707,7771
