,state,state_p,act,r_vel,s,s_p
17052,"(0.000354, 4.268)","(0.000354, 6.248)",130.0,1.612922,16255,16139
17053,"(0.000307, 4.268)","(0.000307, 6.248)",140.0,1.616684,37661,37545
17054,"(0.000253, 4.268)","(0.000253, 6.248)",150.0,1.629485,10139,10023
17055,"(0.000202, 4.268)","(0.000202, 6.248)",160.0,1.656559,11807,11691
17056,"(0.000129, 4.268)","(0.000129, 6.248)",170.0,1.689725,38495,38379
17057,"(0.000121, 4.268)","(0.000121, 6.248)",180.0,1.69453,53229,53113
17058,"(0.000119, 4.268)","(0.000119, 6.248)",190.0,1.729859,15282,15166
17059,"(0.000115, 4.268)","(0.000115, 6.248)",200.0,1.772464,50032,49916
17060,"(0.000105, 6.248)","(0.000105, 4.796)",10.0,-1.120385,26147,26169
17061,"(0.000108, 6.248)","(0.000108, 4.796)",20.0,-1.26,154,176
17062,"(0.000109, 6.248)","(0.000109, 4.796)",30.0,-1.361154,46580,46602
17063,"(0.000112, 6.248)","(0.000112, 4.796)",40.0,-1.462308,20865,20887
17064,"(0.000114, 6.248)","(0.000114, 4.796)",50.0,-1.557051,3073,3095
17065,"(0.000116, 6.248)","(0.000116, 4.796)",60.0,-1.658205,40742,40764
17066,"(0.000119, 6.248)","(0.000119, 4.796)",70.0,-1.746538,15166,15188
17067,"(0.000121, 6.248)","(0.000121, 4.796)",80.0,-1.841282,53113,53135
17068,"(0.000122, 6.248)","(0.000122, 4.796)",90.0,-1.929615,44078,44100
17069,"(0.000122, 6.248)","(0.000122, 4.796)",100.0,-2.017949,44078,44100
17070,"(0.000121, 6.248)","(0.000121, 4.796)",110.0,-2.099872,53113,53135
17071,"(0.000117, 6.248)","(0.000117, 4.796)",120.0,-2.181795,31985,32007
17072,"(0.000109, 6.248)","(0.000109, 4.796)",130.0,-2.257308,46580,46602
17073,"(9.5e-05, 6.248)","(9.5e-05, 4.796)",140.0,-2.32,2517,2539
17074,"(6.3e-05, 6.248)","(6.3e-05, 4.796)",150.0,-2.376282,4463,4485
17075,"(1.5e-05, 6.248)","(1.5e-05, 4.796)",160.0,-2.413333,34626,34648
17076,"(5.1e-05, 6.248)","(5.1e-05, 4.796)",170.0,-2.450385,53947,53969
17077,"(0.000127, 6.248)","(0.000127, 4.796)",180.0,-2.468205,710,732
17078,"(0.000189, 6.248)","(0.000189, 4.796)",190.0,-2.479615,14471,14493
17079,"(0.000244, 6.248)","(0.000244, 4.796)",200.0,-2.478205,32680,32702
17080,"(0.000105, 6.248)","(0.000105, 4.796)",10.0,1.302692,26147,26169
17081,"(0.000108, 6.248)","(0.000108, 4.796)",20.0,1.657722,154,176
17082,"(0.000109, 6.248)","(0.000109, 4.796)",30.0,1.908358,46580,46602
17083,"(0.000112, 6.248)","(0.000112, 4.796)",40.0,2.175833,20865,20887
17084,"(0.000114, 6.248)","(0.000114, 4.796)",50.0,2.180021,3073,3095
17085,"(0.000116, 6.248)","(0.000116, 4.796)",60.0,2.06127,40742,40764
17086,"(0.000119, 6.248)","(0.000119, 4.796)",70.0,1.946203,15166,15188
17087,"(0.000121, 6.248)","(0.000121, 4.796)",80.0,1.842143,53113,53135
17088,"(0.000122, 6.248)","(0.000122, 4.796)",90.0,1.741441,44078,44100
17089,"(0.000122, 6.248)","(0.000122, 4.796)",100.0,1.666612,44078,44100
17090,"(0.000121, 6.248)","(0.000121, 4.796)",110.0,1.597038,53113,53135
17091,"(0.000117, 6.248)","(0.000117, 4.796)",120.0,1.532145,31985,32007
17092,"(0.000109, 6.248)","(0.000109, 4.796)",130.0,1.475936,46580,46602
17093,"(9.5e-05, 6.248)","(9.5e-05, 4.796)",140.0,1.431425,2517,2539
17094,"(6.3e-05, 6.248)","(6.3e-05, 4.796)",150.0,1.392967,4463,4485
17095,"(1.5e-05, 6.248)","(1.5e-05, 4.796)",160.0,1.367802,34626,34648
17096,"(5.1e-05, 6.248)","(5.1e-05, 4.796)",170.0,1.343184,53947,53969
17097,"(0.000127, 6.248)","(0.000127, 4.796)",180.0,1.330485,710,732
17098,"(0.000189, 6.248)","(0.000189, 4.796)",190.0,1.321667,14471,14493
17099,"(0.000244, 6.248)","(0.000244, 4.796)",200.0,1.320485,32680,32702
17100,"(0.000105, 6.248)","(0.000105, 4.796)",10.0,1.159306,26147,26169
17101,"(0.000108, 6.248)","(0.000108, 4.796)",20.0,1.154306,154,176
17102,"(0.000109, 6.248)","(0.000109, 4.796)",30.0,1.149306,46580,46602
17103,"(0.000112, 6.248)","(0.000112, 4.796)",40.0,1.144306,20865,20887
17104,"(0.000114, 6.248)","(0.000114, 4.796)",50.0,1.139306,3073,3095
17105,"(0.000116, 6.248)","(0.000116, 4.796)",60.0,1.134306,40742,40764
17106,"(0.000119, 6.248)","(0.000119, 4.796)",70.0,1.129306,15166,15188
17107,"(0.000121, 6.248)","(0.000121, 4.796)",80.0,1.124306,53113,53135
17108,"(0.000122, 6.248)","(0.000122, 4.796)",90.0,1.119306,44078,44100
17109,"(0.000122, 6.248)","(0.000122, 4.796)",100.0,1.114306,44078,44100
17110,"(0.000121, 6.248)","(0.000121, 4.796)",110.0,1.109306,53113,53135
17111,"(0.000117, 6.248)","(0.000117, 4.796)",120.0,1.104306,31985,32007
17112,"(0.000109, 6.248)","(0.000109, 4.796)",130.0,1.099306,46580,46602
17113,"(9.5e-05, 6.248)","(9.5e-05, 4.796)",140.0,1.094306,2517,2539
17114,"(6.3e-05, 6.248)","(6.3e-05, 4.796)",150.0,1.069847,4463,4485
17115,"(1.5e-05, 6.248)","(1.5e-05, 4.796)",160.0,1.049121,34626,34648
17116,"(5.1e-05, 6.248)","(5.1e-05, 4.796)",170.0,1.028821,53947,53969
17117,"(0.000127, 6.248)","(0.000127, 4.796)",180.0,1.017817,710,732
17118,"(0.000189, 6.248)","(0.000189, 4.796)",190.0,1.009839,14471,14493
17119,"(0.000244, 6.248)","(0.000244, 4.796)",200.0,1.007817,32680,32702
17120,"(0.000163, 4.796)","(0.000163, 5.676)",10.0,1.263908,19358,19437
17121,"(0.00015, 4.796)","(0.00015, 5.676)",20.0,1.579474,21999,22078
17122,"(0.000144, 4.796)","(0.000144, 5.676)",30.0,1.920897,18802,18881
17123,"(0.000143, 4.796)","(0.000143, 5.676)",40.0,2.233731,27142,27221
17124,"(0.000143, 4.796)","(0.000143, 5.676)",50.0,2.271578,27142,27221
17125,"(0.000146, 4.796)","(0.000146, 5.676)",60.0,2.096761,1288,1367
17126,"(0.000149, 4.796)","(0.000149, 5.676)",70.0,1.945328,30200,30279
17127,"(0.000152, 4.796)","(0.000152, 5.676)",80.0,1.859371,4207,4286
17128,"(0.000156, 4.796)","(0.000156, 5.676)",90.0,1.768814,24918,24997
17129,"(0.000159, 4.796)","(0.000159, 5.676)",100.0,1.695665,54247,54326
17130,"(0.000161, 4.796)","(0.000161, 5.676)",110.0,1.632151,36177,36256
17131,"(0.000162, 4.796)","(0.000162, 5.676)",120.0,1.585777,27698,27777
17132,"(0.000162, 4.796)","(0.000162, 5.676)",130.0,1.554303,27698,27777
17133,"(0.00016, 4.796)","(0.00016, 5.676)",140.0,1.532122,45351,45430
17134,"(0.000158, 4.796)","(0.000158, 5.676)",150.0,1.522884,7126,7205
17135,"(0.000153, 4.796)","(0.000153, 5.676)",160.0,1.522122,51328,51407
17136,"(0.000148, 4.796)","(0.000148, 5.676)",170.0,1.529973,38957,39036
17137,"(0.000143, 4.796)","(0.000143, 5.676)",180.0,1.542432,27142,27221
17138,"(0.000135, 4.796)","(0.000135, 5.676)",190.0,1.541856,41459,41538
17139,"(0.000129, 4.796)","(0.000129, 5.676)",200.0,1.541304,38401,38480
17140,"(0.000163, 4.796)","(0.000163, 5.676)",10.0,1.332061,19358,19437
17141,"(0.00015, 4.796)","(0.00015, 5.676)",20.0,1.73739,21999,22078
17142,"(0.000144, 4.796)","(0.000144, 5.676)",30.0,2.041511,18802,18881
17143,"(0.000143, 4.796)","(0.000143, 5.676)",40.0,2.23,27142,27221
17144,"(0.000143, 4.796)","(0.000143, 5.676)",50.0,2.422368,27142,27221
17145,"(0.000146, 4.796)","(0.000146, 5.676)",60.0,2.618734,1288,1367
17146,"(0.000149, 4.796)","(0.000149, 5.676)",70.0,2.665,30200,30279
17147,"(0.000152, 4.796)","(0.000152, 5.676)",80.0,2.559379,4207,4286
17148,"(0.000156, 4.796)","(0.000156, 5.676)",90.0,2.476084,24918,24997
17149,"(0.000159, 4.796)","(0.000159, 5.676)",100.0,2.369075,54247,54326
17150,"(0.000161, 4.796)","(0.000161, 5.676)",110.0,2.282989,36177,36256
17151,"(0.000162, 4.796)","(0.000162, 5.676)",120.0,2.220654,27698,27777
17152,"(0.000162, 4.796)","(0.000162, 5.676)",130.0,2.178968,27698,27777
17153,"(0.00016, 4.796)","(0.00016, 5.676)",140.0,2.150159,45351,45430
17154,"(0.000158, 4.796)","(0.000158, 5.676)",150.0,2.139286,7126,7205
17155,"(0.000153, 4.796)","(0.000153, 5.676)",160.0,2.140159,51328,51407
17156,"(0.000148, 4.796)","(0.000148, 5.676)",170.0,2.152968,38957,39036
17157,"(0.000143, 4.796)","(0.000143, 5.676)",180.0,2.184457,27142,27221
17158,"(0.000135, 4.796)","(0.000135, 5.676)",190.0,2.173293,41459,41538
17159,"(0.000129, 4.796)","(0.000129, 5.676)",200.0,2.180654,38401,38480
17160,"(0.000163, 4.796)","(0.000163, 5.676)",10.0,1.297583,19358,19437
17161,"(0.00015, 4.796)","(0.00015, 5.676)",20.0,1.655094,21999,22078
17162,"(0.000144, 4.796)","(0.000144, 5.676)",30.0,2.073757,18802,18881
17163,"(0.000143, 4.796)","(0.000143, 5.676)",40.0,2.510466,27142,27221
17164,"(0.000143, 4.796)","(0.000143, 5.676)",50.0,2.609328,27142,27221
17165,"(0.000146, 4.796)","(0.000146, 5.676)",60.0,2.412907,1288,1367
17166,"(0.000149, 4.796)","(0.000149, 5.676)",70.0,2.27219,30200,30279
17167,"(0.000152, 4.796)","(0.000152, 5.676)",80.0,2.16625,4207,4286
17168,"(0.000156, 4.796)","(0.000156, 5.676)",90.0,2.07512,24918,24997
