s,a,r,sp
866,5,2.151471,907
866,6,2.327843,907
866,7,2.496579,887
866,8,2.341188,867
866,9,2.202664,867
866,10,2.087778,867
866,11,1.991809,847
866,12,1.895285,847
866,13,1.813906,847
866,14,1.745094,847
866,15,1.674091,847
866,16,1.613662,867
866,17,1.556638,887
866,18,1.508007,907
866,19,1.456613,987
866,20,1.412579,1047
866,1,1.202547,947
866,2,1.436328,947
866,3,1.71473,927
866,4,1.934198,927
866,5,2.108333,907
866,6,2.276306,907
866,7,2.450437,887
866,8,2.494653,867
866,9,2.347523,867
866,10,2.225556,867
866,11,2.123723,847
866,12,2.021301,847
866,13,1.935,847
866,14,1.862075,847
866,15,1.786818,847
866,16,1.722817,867
866,17,1.66244,887
866,18,1.610997,907
866,19,1.556613,987
866,20,1.510063,1047
847,1,1.205648,807
847,2,1.434751,767
847,3,1.711073,747
847,4,1.946165,707
847,5,2.118443,687
847,6,2.294444,687
847,7,2.467392,687
847,8,2.370138,687
847,9,2.24886,727
847,10,2.129167,747
847,11,2.028665,787
847,12,1.943831,827
847,13,1.857794,827
847,14,1.78461,827
847,15,1.716096,827
847,16,1.657542,827
847,17,1.602097,827
847,18,1.549498,827
847,19,1.504388,827
847,20,1.465868,827
907,1,1.172143,807
907,2,1.37255,767
907,3,1.581899,747
907,4,1.803009,707
907,5,2.024751,687
907,6,2.115833,687
907,7,1.984608,687
907,8,1.858618,687
907,9,1.762018,727
907,10,1.666667,747
907,11,1.586434,787
907,12,1.518544,827
907,13,1.449706,827
907,14,1.390993,827
907,15,1.335959,827
907,16,1.288771,827
907,17,1.244032,827
907,18,1.201536,827
907,19,1.164939,827
907,20,1.133533,827
867,1,1.182661,807
867,2,1.398537,767
867,3,1.646871,747
867,4,1.905,707
867,5,2.164573,687
867,6,2.37625,687
867,7,2.229706,687
867,8,2.089032,687
867,9,1.981316,727
867,10,1.875,747
867,11,1.785637,787
867,12,1.710115,827
867,13,1.633529,827
867,14,1.568298,827
867,15,1.507192,827
867,16,1.454884,827
867,17,1.405323,827
867,18,1.358276,827
867,19,1.317844,827
867,20,1.283234,827
787,1,1.013587,807
787,2,1.020075,787
787,3,1.022879,807
787,4,1.025802,807
787,5,1.028846,807
787,6,1.023846,827
787,7,1.018846,827
787,8,1.009808,827
787,9,1.000802,847
787,10,0.987879,847
787,11,0.975075,847
787,12,0.958587,847
787,13,0.94607,847
787,14,-1.077299,847
787,15,-1.118796,847
787,16,-1.156642,847
787,17,-1.194489,847
787,18,-1.232336,847
787,19,-1.266533,847
787,20,-1.30073,847
827,1,1.054072,807
827,2,1.100619,787
827,3,1.152442,807
827,4,1.20439,807
827,5,1.242677,807
827,6,1.270518,827
827,7,1.226307,827
827,8,1.143962,827
827,9,1.075536,847
827,10,1.018085,847
827,11,0.965325,847
827,12,-1.07992,847
827,13,-1.124761,847
827,14,-1.169602,847
827,15,-1.214442,847
827,16,-1.255299,847
827,17,-1.296155,847
827,18,-1.337012,847
827,19,-1.373884,847
827,20,-1.410757,847
827,1,1.032975,807
827,2,1.054935,787
827,3,1.078333,807
827,4,1.10844,807
827,5,1.135377,807
827,6,1.17,827
827,7,1.201181,827
827,8,1.120377,827
827,9,1.053214,847
827,10,0.996809,847
827,11,-0.055,847
827,12,-1.10065,847
827,13,-1.146301,847
827,14,-1.191951,847
827,15,-1.237602,847
827,16,-1.279187,847
827,17,-1.320772,847
827,18,-1.362358,847
827,19,-1.399878,847
827,20,-1.437398,847
847,1,1.163605,786
847,2,1.348108,786
847,3,1.549202,786
847,4,1.750925,806
847,5,1.945588,806
847,6,2.096984,806
847,7,1.965,806
847,8,1.838505,806
847,9,1.733761,826
847,10,1.646203,826
847,11,1.565968,826
847,12,1.492124,826
847,13,1.429424,826
847,14,1.37086,826
847,15,1.316003,826
847,16,1.268993,826
847,17,1.224446,826
847,18,1.182152,826
847,19,1.145741,826
847,20,1.110843,826
847,1,1.143387,786
847,2,1.308519,786
847,3,1.468333,786
847,4,1.620553,806
847,5,1.77298,806
847,6,1.853598,806
847,7,1.736144,806
847,8,1.623551,806
847,9,1.530221,826
847,10,1.45211,826
847,11,1.380484,826
847,12,1.314517,826
847,13,1.25842,826
847,14,1.205986,826
847,15,1.156834,826
847,16,1.114631,826
847,17,1.074609,826
847,18,1.036582,826
847,19,1.003765,826
847,20,0.972289,826
787,1,1.068359,786
787,2,1.13876,786
787,3,1.220556,786
787,4,1.285164,806
787,5,1.337745,806
787,6,1.388367,806
787,7,1.348085,806
787,8,1.259065,806
787,9,1.185088,826
787,10,1.122996,826
787,11,1.065968,826
787,12,1.013359,826
787,13,0.972313,826
787,14,-1.073597,826
787,15,-1.114568,826
787,16,-1.151942,826
787,17,-1.189317,826
787,18,-1.226691,826
787,19,-1.260468,826
787,20,-1.294245,826
806,1,1.007931,928
806,2,1.016201,928
806,3,1.020242,908
806,4,1.024444,908
806,5,1.019444,908
806,6,1.019107,928
806,7,1.014107,948
806,8,1.004444,948
806,9,0.994823,948
806,10,0.985242,968
806,11,0.971201,968
806,12,0.961739,968
806,13,0.943584,988
806,14,-1.099787,988
806,15,-1.143085,988
806,16,-1.186383,1008
806,17,-1.225426,1008
806,18,-1.268723,1008
806,19,-1.307766,1008
806,20,-1.346809,1008
826,1,1.13306,928
826,2,1.27692,928
826,3,1.430498,908
826,4,1.568542,908
826,5,1.698164,908
826,6,1.818485,928
826,7,1.759118,948
826,8,1.635824,948
826,9,1.535311,948
826,10,1.445098,968
826,11,1.370234,968
826,12,1.301607,968
826,13,1.244013,988
826,14,1.190331,988
826,15,1.140139,988
826,16,1.093077,1008
826,17,1.05306,1008
826,18,1.011083,1008
826,19,0.975175,1008
826,20,0.940956,1008
746,1,1.041099,928
746,2,1.078561,928
746,3,1.110954,908
746,4,1.132344,908
746,5,1.155,908
746,6,1.169187,928
746,7,1.159332,948
746,8,1.154332,948
746,9,1.144516,948
746,10,1.125299,968
746,11,1.106417,968
746,12,1.083411,968
746,13,1.065268,988
746,14,1.043208,988
746,15,1.021654,988
746,16,0.996642,1008
746,17,0.979982,1008
746,18,0.959822,1008
746,19,0.940088,1008
746,20,0.906826,1008
1008,1,1.108346,1012
1008,2,1.227805,1032
1008,3,1.347416,1032
1008,4,1.48,1052
1008,5,1.590385,1052
1008,6,1.695212,1032
1008,7,1.750924,1032
1008,8,1.75646,992
1008,9,1.740924,972
1008,10,1.705043,932
1008,11,1.689986,872
1008,12,1.655493,812
1008,13,1.621981,732
1008,14,1.61232,672
1008,15,1.593493,592
1008,16,1.574891,532
1008,17,1.560946,472
1008,18,1.551509,432
1008,19,1.546509,432
1008,20,1.545946,432
968,1,1.087308,1012
968,2,1.178995,1032
968,3,1.265928,1032
968,4,1.360556,1052
968,5,1.411416,1052
968,6,1.453582,1032
968,7,1.48954,1032
968,8,1.479878,992
968,9,1.470244,972
968,10,1.438024,932
968,11,1.415414,872
968,12,1.393216,812
968,13,1.359069,732
968,14,1.341932,672
968,15,1.317157,592
968,16,1.304401,532
968,17,1.284146,472
968,18,1.275385,432
968,19,1.259223,432
968,20,1.250543,432
988,1,1.094585,1012
988,2,1.200046,1032
988,3,1.296881,1032
988,4,1.404731,1052
988,5,1.493625,1052
988,6,1.5427,1032
988,7,1.556592,1032
988,8,1.566061,992
988,9,1.556208,972
988,10,1.513422,932
988,11,1.49019,872
988,12,1.462989,812
988,13,1.440682,732
988,14,1.418764,672
988,15,1.401323,592
988,16,1.388144,532
988,17,1.363087,472
988,18,1.358087,432
988,19,1.341314,432
988,20,1.340217,432
972,1,1.101569,1192
972,2,1.212581,1232
972,3,1.326593,1272
972,4,1.454708,1312
972,5,1.537887,1332
972,6,1.658196,1332
972,7,1.711544,1312
972,8,1.769069,1252
972,9,1.80378,1212
972,10,1.821605,1192
972,11,1.835274,1192
972,12,1.88359,1192
972,13,1.898731,1192
972,14,1.909112,1192
972,15,1.925,1192
972,16,1.946738,1172
972,17,1.986038,1172
972,18,2.021421,1172
972,19,2.083161,1152
972,20,2.122874,1152
1032,1,1.091618,1192
1032,2,1.188944,1232
1032,3,1.304767,1272
1032,4,1.392863,1312
1032,5,1.488333,1332
1032,6,1.557413,1332
1032,7,1.594187,1312
1032,8,1.641481,1252
1032,9,1.666055,1212
1032,10,1.682824,1192
1032,11,1.691154,1192
1032,12,1.672824,1192
1032,13,1.685643,1192
1032,14,1.703437,1192
1032,15,1.721834,1192
1032,16,1.740856,1172
1032,17,1.775656,1172
1032,18,1.812235,1172
1032,19,1.861897,1152
1032,20,1.914793,1152
1012,1,1.074767,1192
1012,2,1.151088,1232
1012,3,1.22108,1272
1012,4,1.279766,1312
1012,5,1.318826,1332
1012,6,1.364472,1332
1012,7,1.391735,1312
1012,8,1.401558,1252
1012,9,1.400313,1212
1012,10,1.395313,1192
1012,11,1.390313,1192
1012,12,1.381558,1192
1012,13,1.384086,1192
1012,14,1.379086,1192
1012,15,1.38938,1192
1012,16,1.403957,1172
1012,17,1.423152,1172
1012,18,1.434725,1172
1012,19,1.450961,1152
1012,20,1.494828,1152
1252,1,1.187593,993
1252,2,1.366068,1013
1252,3,1.475741,1053
1252,4,1.518217,1093
1252,5,1.498659,1153
1252,6,1.451595,1213
1252,7,1.406791,1293
1252,8,1.368163,1353
1252,9,1.311742,1413
1252,10,1.258943,1473
1252,11,1.226167,1493
1252,12,1.201097,1493
1252,13,1.189545,1453
1252,14,1.191097,1393
1252,15,1.199406,1313
1252,16,1.218387,1233
1252,17,1.220405,1133
1252,18,1.2225,1133
1252,19,1.228288,1113
1252,20,1.23795,1113
1192,1,1.088548,993
1192,2,1.12,1013
1192,3,1.145959,1053
1192,4,1.15301,1093
1192,5,1.14801,1153
1192,6,1.088812,1213
1192,7,1.014536,1293
1192,8,-1.0459,1353
1192,9,-1.095147,1413
1192,10,-1.138496,1473
1192,11,-1.167094,1493
1192,12,-1.189794,1493
1192,13,-1.200693,1453
1192,14,-1.199794,1393
1192,15,-1.192994,1313
1192,16,-1.183245,1233
1192,17,-1.167596,1133
1192,18,-1.143097,1133
1192,19,-1.145147,1113
1192,20,-1.156047,1113
1192,1,1.126818,993
1192,2,1.086916,1013
1192,3,-1.019016,1053
1192,4,-1.120402,1093
1192,5,-1.205723,1153
1192,6,-1.278996,1213
1192,7,-1.336205,1293
1192,8,-1.409478,1353
1192,9,-1.474719,1413
1192,10,-1.531928,1473
1192,11,-1.569056,1493
