s,a,r,sp
127,3,4.521477,127
127,4,4.421477,126
127,5,4.321477,126
127,6,4.221477,125
127,7,4.121477,124
127,8,4.021477,123
127,9,3.921477,122
127,10,3.821477,121
127,11,3.721477,120
127,12,3.621477,126
127,13,3.521477,126
127,14,3.421477,126
127,15,3.321477,126
127,16,3.221477,126
127,17,3.121477,126
127,18,3.021477,126
127,19,2.921477,126
127,20,2.821477,126
120,1,1.014955,126
120,2,1.77745,126
120,3,1.804223,126
120,4,1.882314,126
120,5,1.66611,126
120,6,1.163303,126
120,7,0.396689,126
120,8,-0.599718,126
120,9,-1.784564,126
120,10,-3.112714,126
120,11,-4.538255,126
120,12,-6.046124,126
120,13,-7.560857,126
120,14,-10.240706,126
120,15,-15.237119,126
120,16,-20.165595,126
120,17,-25.018861,126
120,18,-29.768714,126
120,19,-34.382526,126
120,20,-38.830116,126
126,1,4.191496,126
126,2,8.271003,126
126,3,12.534331,126
126,4,16.119964,126
126,5,18.513058,126
126,6,20.50798,126
126,7,21.317351,126
126,8,15.414352,126
126,9,9.761623,126
126,10,4.303347,126
126,11,-1.011859,126
126,12,-6.220684,126
126,13,-11.354186,126
126,14,-16.415274,126
126,15,-21.411686,126
126,16,-26.340137,126
126,17,-31.193416,126
126,18,-35.943283,126
126,19,-40.553425,126
126,20,-44.999675,126
126,1,2.354114,126
126,2,4.335916,126
126,3,6.548122,126
126,4,8.874016,126
126,5,11.26372,126
126,6,13.828022,126
126,7,16.996677,126
126,8,12.681094,126
126,9,7.028362,126
126,10,1.570088,126
126,11,-3.745109,126
126,12,-8.953946,126
126,13,-14.087448,126
126,14,-19.148528,126
126,15,-24.144944,126
126,16,-29.073394,126
126,17,-33.926678,126
126,18,-38.67654,126
126,19,-43.286668,126
126,20,-47.732672,126
126,1,13.345703,126
126,2,13.245703,125
126,3,13.145703,125
126,4,13.045703,126
126,5,12.945703,126
126,6,12.845703,126
126,7,12.745703,126
126,8,12.645703,126
126,9,12.545703,126
126,10,12.445703,126
126,11,12.345703,126
126,12,12.245703,126
126,13,12.145703,126
126,14,12.045703,126
126,15,11.945703,126
126,16,11.845703,126
126,17,11.745703,126
126,18,11.645703,126
126,19,11.545703,126
126,20,11.445703,126
126,1,16.570927,126
126,2,17.413695,125
126,3,17.313695,125
126,4,17.213695,126
126,5,17.113695,126
126,6,17.013695,126
126,7,16.913695,126
126,8,16.813695,126
126,9,16.713695,126
126,10,16.613695,126
126,11,16.513695,126
126,12,16.413695,126
126,13,16.313695,126
126,14,16.213695,126
126,15,16.113695,126
126,16,16.013695,126
126,17,12.607546,126
126,18,7.777165,126
126,19,3.130618,126
126,20,-1.337893,126
126,1,6.462817,126
126,2,12.663759,125
126,3,19.264094,125
126,4,23.649644,126
126,5,27.032357,126
126,6,29.811718,126
126,7,32.058665,126
126,8,26.143363,126
126,9,20.454161,126
126,10,14.914247,126
126,11,9.545304,126
126,12,4.275186,126
126,13,-0.925834,126
126,14,-6.044551,126
126,15,-11.103463,126
126,16,-16.078004,126
126,17,-20.951366,126
126,18,-25.780644,126
126,19,-30.428289,126
126,20,-34.896779,126
126,1,0.836386,177
126,2,1.527437,177
126,3,1.702395,177
126,4,1.92019,176
126,5,1.578936,176
126,6,1.371335,176
126,7,0.966513,176
126,8,0.174433,176
126,9,-0.516697,176
126,10,-1.329983,176
126,11,-2.558333,176
126,12,-8.655385,176
126,13,-14.752436,176
126,14,-20.849487,176
126,15,-26.946539,176
126,16,-33.04359,176
126,17,-39.140642,176
126,18,-45.237693,176
126,19,-51.334744,176
126,20,-57.431796,176
126,1,13.113493,177
126,2,18.310773,177
126,3,18.210773,177
126,4,18.110773,176
126,5,18.010773,176
126,6,17.910773,176
126,7,17.810773,176
126,8,17.710773,176
126,9,17.610773,176
126,10,17.510773,176
126,11,17.410773,176
126,12,17.310773,176
126,13,17.210773,176
126,14,17.110773,176
126,15,17.010773,176
126,16,12.971969,176
126,17,8.835166,176
126,18,4.746602,176
126,19,0.718769,176
126,20,-3.271989,176
127,1,3.917791,177
127,2,4.137713,177
127,3,4.138767,177
127,4,4.139821,176
127,5,4.140875,176
127,6,4.141929,176
127,7,4.142983,176
127,8,4.144037,176
127,9,4.143207,176
127,10,4.043207,176
127,11,3.943207,176
127,12,3.843207,176
127,13,3.638838,176
127,14,1.404208,176
127,15,-0.804933,176
127,16,-2.998739,176
127,17,-5.034359,176
127,18,-7.141947,176
127,19,-9.191191,176
127,20,-12.914485,176
176,1,5.066067,277
176,2,4.966067,278
176,3,4.866067,278
176,4,4.766067,279
176,5,4.666067,279
176,6,4.566067,280
176,7,4.466067,281
176,8,4.366067,283
176,9,4.266067,285
176,10,4.166067,285
176,11,4.066067,286
176,12,3.966067,286
176,13,3.866067,286
176,14,3.766067,285
176,15,3.666067,285
176,16,3.566067,283
176,17,3.466067,281
176,18,3.366067,279
176,19,3.266067,276
176,20,3.166067,274
176,1,9.583642,277
176,2,10.661824,278
176,3,10.740963,278
176,4,10.640963,279
176,5,10.540963,279
176,6,10.440963,280
176,7,10.340963,281
176,8,10.240963,283
176,9,10.140963,285
176,10,10.040963,285
176,11,9.940963,286
176,12,9.840963,286
176,13,9.740963,286
176,14,9.640963,285
176,15,9.540963,285
176,16,9.440963,283
176,17,9.340963,281
176,18,7.11008,279
176,19,4.462649,276
176,20,2.456306,274
176,1,8.181094,277
176,2,8.35216,278
176,3,8.25216,278
176,4,8.15216,279
176,5,8.05216,279
176,6,7.95216,280
176,7,7.85216,281
176,8,7.75216,283
176,9,7.65216,285
176,10,7.55216,285
176,11,7.45216,286
176,12,7.35216,286
176,13,7.25216,286
176,14,7.15216,285
176,15,7.05216,285
176,16,6.95216,283
176,17,6.85216,281
176,18,6.75216,279
176,19,6.65216,276
176,20,6.55216,274
285,1,23.449597,275
285,2,30.504946,275
285,3,30.719081,276
285,4,30.619081,277
285,5,30.519081,279
285,6,30.419081,280
285,7,30.319081,282
285,8,30.219081,284
285,9,30.119081,285
285,10,30.019081,276
285,11,29.919081,276
285,12,29.819081,276
285,13,29.719081,276
285,14,29.619081,276
285,15,29.519081,276
285,16,29.419081,276
285,17,29.319081,276
285,18,29.219081,276
285,19,29.119081,276
285,20,29.019081,276
280,1,18.318877,275
280,2,29.109063,275
280,3,29.009063,276
280,4,28.909063,277
280,5,28.809063,279
280,6,28.709063,280
280,7,28.609063,282
280,8,28.509063,284
280,9,28.409063,285
280,10,28.309063,276
280,11,28.209063,276
280,12,28.109063,276
280,13,28.009063,276
280,14,27.909063,276
280,15,27.809063,276
280,16,27.709063,276
280,17,27.609063,276
280,18,27.509063,276
