s,a,r,sp
136,20,1.618651,142
137,1,2.050726,134
137,2,3.664226,134
137,3,5.06538,134
137,4,6.160136,134
137,5,6.872436,134
137,6,7.390456,134
137,7,7.756058,135
137,8,8.006865,135
137,9,7.828224,136
137,10,7.251016,137
137,11,6.687791,137
137,12,6.152793,138
137,13,5.629307,139
137,14,5.122569,139
137,15,4.631153,140
137,16,4.155055,140
137,17,3.693784,141
137,18,3.248779,142
137,19,2.823473,142
137,20,2.416687,142
137,1,2.118015,118
137,2,3.748604,118
137,3,5.19678,118
137,4,6.271608,118
137,5,7.019796,119
137,6,7.577159,120
137,7,7.986754,121
137,8,8.235528,121
137,9,7.636393,122
137,10,7.051178,123
137,11,6.496894,123
137,12,5.964515,124
137,13,5.441764,124
137,14,4.93727,124
137,15,4.450802,125
137,16,3.982582,125
137,17,3.53514,126
137,18,3.11349,126
137,19,2.717593,126
137,20,2.356634,127
134,1,1.415968,118
134,2,2.641661,118
134,3,3.578622,118
134,4,4.236556,118
134,5,4.726871,119
134,6,5.085519,120
134,7,5.343587,121
134,8,5.408261,121
134,9,4.809125,122
134,10,4.22474,123
134,11,3.671531,123
134,12,3.137248,124
134,13,2.614496,124
134,14,2.110003,124
134,15,1.623535,125
134,16,1.155313,125
134,17,0.707871,126
134,18,0.286222,126
134,19,-0.109676,126
134,20,-0.470634,127
135,1,1.695403,118
135,2,3.11881,118
135,3,4.340681,118
135,4,5.147559,118
135,5,5.751622,119
135,6,6.198485,120
135,7,6.522615,121
135,8,6.679368,121
135,9,6.080232,122
135,10,5.495517,123
135,11,4.941824,123
135,12,4.408355,124
135,13,3.885603,124
135,14,3.38111,124
135,15,2.894642,125
135,16,2.426421,125
135,17,1.978979,126
135,18,1.557329,126
135,19,1.161432,126
135,20,0.800473,127
123,1,-0.099465,126
123,2,-0.215361,127
123,3,-0.367135,127
123,4,-0.521418,128
123,5,-0.692161,128
123,6,-0.877862,128
123,7,-1.076165,129
123,8,-1.285314,129
123,9,-1.502432,129
123,10,-1.723503,130
123,11,-1.948731,130
123,12,-2.173425,130
123,13,-2.412483,130
123,14,-2.724008,131
123,15,-3.2128,131
123,16,-3.684726,131
123,17,-4.136615,132
123,18,-4.56953,132
123,19,-4.975644,133
123,20,-5.354638,133
126,1,0.178238,126
126,2,0.361452,127
126,3,0.573565,127
126,4,0.731439,128
126,5,0.795705,128
126,6,0.832146,128
126,7,0.844894,129
126,8,0.532118,129
126,9,-0.068021,129
126,10,-0.645564,130
126,11,-1.203333,130
126,12,-1.74106,130
126,13,-2.262686,130
126,14,-2.766683,131
126,15,-3.257804,131
126,16,-3.728782,131
126,17,-4.181621,132
126,18,-4.614537,132
126,19,-5.020399,133
126,20,-5.399298,133
125,1,0.039532,126
125,2,0.064799,127
125,3,0.111609,127
125,4,0.180117,128
125,5,0.256943,128
125,6,0.355458,128
125,7,0.498518,129
125,8,0.241392,129
125,9,-0.358747,129
125,10,-0.936289,130
125,11,-1.494057,130
125,12,-2.031786,130
125,13,-2.553411,130
125,14,-3.057198,131
125,15,-3.548529,131
125,16,-4.019507,131
125,17,-4.472346,132
125,18,-4.905262,132
125,19,-5.311123,133
125,20,-5.690005,133
133,1,1.308193,122
133,2,2.419962,122
133,3,3.347616,123
133,4,3.95637,124
133,5,4.404562,124
133,6,4.72869,125
133,7,4.956029,125
133,8,5.108379,126
133,9,4.532692,126
133,10,3.932111,126
133,11,3.379602,127
133,12,2.848575,127
133,13,2.313439,127
133,14,1.81332,128
133,15,1.327942,128
133,16,0.853505,128
133,17,0.405381,129
133,18,-0.023909,129
133,19,-0.424088,130
133,20,-0.794569,130
131,1,1.023603,122
131,2,1.967196,122
