s,a,r,sp
782,20,1.39635,22328
4348,1,1.082248,8224
4348,2,1.115,33024
4348,3,1.133936,11789
4348,4,1.137143,11789
4348,5,1.132143,11789
4348,6,1.110845,11789
4348,7,1.09,11789
4348,8,1.054595,23569
4348,9,1.020789,15354
4348,10,0.995161,6984
4348,11,0.963868,10549
4348,12,-0.06,14269
4348,13,-1.083519,17679
4348,14,-1.107037,629
4348,15,-1.130556,16594
4348,16,-1.147901,33179
4348,17,-1.17142,27909
4348,18,-1.182593,10704
4348,19,-1.199938,5744
4348,20,-1.217284,784
6983,1,1.070949,8224
6983,2,1.115828,33024
6983,3,1.141463,11789
6983,4,1.160556,11789
6983,5,1.163811,11789
6983,6,1.142414,11789
6983,7,1.113649,11789
6983,8,1.085828,23569
6983,9,1.058896,15354
6983,10,1.025949,6984
6983,11,0.994383,10549
6983,12,0.970303,14269
6983,13,0.946905,17679
6983,14,-1.075882,629
6983,15,-1.098529,16594
6983,16,-1.115294,33179
6983,17,-1.132059,27909
6983,18,-1.148824,10704
6983,19,-1.165588,5744
6983,20,-1.182353,784
27909,1,1.097564,1870
27909,2,1.191117,31785
27909,3,1.295976,6985
27909,4,1.385229,6985
27909,5,1.457759,31785
27909,6,1.516763,14270
27909,7,1.557593,9310
27909,8,1.601221,4505
27909,9,1.583788,11945
27909,10,1.519343,7140
27909,11,1.459085,14425
27909,12,1.412603,21400
27909,13,1.368333,29460
27909,14,1.326104,3420
27909,15,1.285759,22640
27909,16,1.24716,30855
27909,17,1.210181,25430
27909,18,1.182189,20315
27909,19,1.155,24035
27909,20,1.128571,3575
784,1,1.112647,1870
784,2,1.215806,31785
784,3,1.326176,6985
784,4,1.441538,6985
784,5,1.52602,31785
784,6,1.587021,14270
784,7,1.641471,9310
784,8,1.661493,4505
784,9,1.656493,11945
784,10,1.614234,7140
784,11,1.550634,14425
784,12,1.501644,21400
784,13,1.455,29460
784,14,1.410519,3420
784,15,1.368038,22640
784,16,1.327407,30855
784,17,1.288494,25430
784,18,1.259112,20315
784,19,1.230581,24035
784,20,1.202857,3575
15354,1,1.074545,1870
15354,2,1.155644,31785
15354,3,1.22683,6985
15354,4,1.28137,6985
15354,5,1.332143,31785
15354,6,1.367059,14270
15354,7,1.393571,9310
15354,8,1.421538,4505
15354,9,1.394394,11945
15354,10,1.336861,7140
15354,11,1.283028,14425
15354,12,1.24137,21400
15354,13,1.201667,29460
15354,14,1.163766,3420
15354,15,1.127532,22640
15354,16,1.09284,30855
15354,17,1.059578,25430
15354,18,1.03426,20315
15354,19,1.009651,24035
15354,20,0.985714,3575
3420,1,1.11593,24811
3420,2,1.225897,24811
3420,3,1.338933,12721
3420,4,1.458528,17371
3420,5,1.550163,10241
3420,6,1.620685,23261
3420,7,1.615685,24656
3420,8,1.610685,17216
3420,9,1.605685,18301
3420,10,1.600685,11326
3420,11,1.56245,15976
3420,12,1.504935,11
3420,13,1.460316,15976
3420,14,1.417654,19386
3420,15,1.376807,2646
