,state,state_p,act,r_acc
4009,"(4, 24)","(3, 35)",100.0,21.733291
4010,"(4, 24)","(3, 36)",110.0,21.633291
4011,"(4, 24)","(3, 36)",120.0,21.533291
4012,"(4, 24)","(3, 36)",130.0,21.433291
4013,"(4, 24)","(3, 35)",140.0,21.333291
4014,"(4, 24)","(3, 35)",150.0,21.233291
4015,"(4, 24)","(3, 33)",160.0,21.133291
4016,"(4, 24)","(3, 31)",170.0,21.033291
4017,"(4, 24)","(3, 29)",180.0,20.933291
4018,"(4, 24)","(3, 26)",190.0,20.833291
4019,"(4, 24)","(3, 24)",200.0,20.733291
4020,"(4, 26)","(3, 27)",10.0,29.638943
4021,"(4, 26)","(3, 28)",20.0,45.820514
4022,"(4, 26)","(3, 28)",30.0,45.720514
4023,"(4, 26)","(3, 29)",40.0,45.620514
4024,"(4, 26)","(3, 29)",50.0,45.520514
4025,"(4, 26)","(3, 30)",60.0,45.420514
4026,"(4, 26)","(3, 31)",70.0,45.320514
4027,"(4, 26)","(3, 33)",80.0,45.220514
4028,"(4, 26)","(3, 35)",90.0,45.120514
4029,"(4, 26)","(3, 35)",100.0,45.020514
4030,"(4, 26)","(3, 36)",110.0,44.920514
4031,"(4, 26)","(3, 36)",120.0,44.820514
4032,"(4, 26)","(3, 36)",130.0,44.720514
4033,"(4, 26)","(3, 35)",140.0,44.620514
4034,"(4, 26)","(3, 35)",150.0,44.520514
4035,"(4, 26)","(3, 33)",160.0,44.420514
4036,"(4, 26)","(3, 31)",170.0,44.320514
4037,"(4, 26)","(3, 29)",180.0,44.220514
4038,"(4, 26)","(3, 26)",190.0,44.120514
4039,"(4, 26)","(3, 24)",200.0,42.899771
4040,"(3, 31)","(2, 27)",10.0,0.169099
4041,"(3, 31)","(2, 27)",20.0,0.069099
4042,"(3, 31)","(2, 27)",30.0,-0.030901
4043,"(3, 31)","(2, 26)",40.0,-0.130901
4044,"(3, 31)","(2, 26)",50.0,-0.230901
4045,"(3, 31)","(2, 26)",60.0,-0.330901
4046,"(3, 31)","(2, 26)",70.0,-0.430901
4047,"(3, 31)","(2, 26)",80.0,-0.530901
4048,"(3, 31)","(2, 26)",90.0,-0.630901
4049,"(3, 31)","(2, 26)",100.0,-0.730901
4050,"(3, 31)","(2, 26)",110.0,-0.830901
4051,"(3, 31)","(2, 26)",120.0,-0.930901
4052,"(3, 31)","(2, 26)",130.0,-1.030901
4053,"(3, 31)","(2, 26)",140.0,-1.130901
4054,"(3, 31)","(2, 26)",150.0,-1.230901
4055,"(3, 31)","(2, 26)",160.0,-1.330901
4056,"(3, 31)","(2, 26)",170.0,-1.430901
4057,"(3, 31)","(2, 26)",180.0,-1.530901
4058,"(3, 31)","(2, 26)",190.0,-1.630901
4059,"(3, 31)","(2, 26)",200.0,-1.730901
4060,"(3, 30)","(2, 27)",10.0,1.208706
4061,"(3, 30)","(2, 27)",20.0,1.108706
4062,"(3, 30)","(2, 27)",30.0,1.008706
4063,"(3, 30)","(2, 26)",40.0,0.908706
4064,"(3, 30)","(2, 26)",50.0,0.808706
4065,"(3, 30)","(2, 26)",60.0,0.708706
4066,"(3, 30)","(2, 26)",70.0,0.608706
4067,"(3, 30)","(2, 26)",80.0,0.508706
4068,"(3, 30)","(2, 26)",90.0,0.408706
4069,"(3, 30)","(2, 26)",100.0,0.308706
4070,"(3, 30)","(2, 26)",110.0,0.208706
4071,"(3, 30)","(2, 26)",120.0,0.108706
4072,"(3, 30)","(2, 26)",130.0,0.008706
4073,"(3, 30)","(2, 26)",140.0,-0.091294
4074,"(3, 30)","(2, 26)",150.0,-0.191294
4075,"(3, 30)","(2, 26)",160.0,-0.291294
4076,"(3, 30)","(2, 26)",170.0,-0.391294
4077,"(3, 30)","(2, 26)",180.0,-0.491294
4078,"(3, 30)","(2, 26)",190.0,-0.591294
4079,"(3, 30)","(2, 26)",200.0,-0.691294
4080,"(3, 33)","(2, 27)",10.0,0.324212
4081,"(3, 33)","(2, 27)",20.0,0.484417
4082,"(3, 33)","(2, 27)",30.0,0.384417
4083,"(3, 33)","(2, 26)",40.0,0.284417
4084,"(3, 33)","(2, 26)",50.0,0.184417
4085,"(3, 33)","(2, 26)",60.0,0.084417
4086,"(3, 33)","(2, 26)",70.0,-0.015583
4087,"(3, 33)","(2, 26)",80.0,-0.115583
4088,"(3, 33)","(2, 26)",90.0,-0.215583
4089,"(3, 33)","(2, 26)",100.0,-0.315583
4090,"(3, 33)","(2, 26)",110.0,-0.415583
4091,"(3, 33)","(2, 26)",120.0,-0.515583
4092,"(3, 33)","(2, 26)",130.0,-0.615583
4093,"(3, 33)","(2, 26)",140.0,-0.715583
4094,"(3, 33)","(2, 26)",150.0,-0.815583
4095,"(3, 33)","(2, 26)",160.0,-0.915583
4096,"(3, 33)","(2, 26)",170.0,-1.015583
4097,"(3, 33)","(2, 26)",180.0,-1.115583
4098,"(3, 33)","(2, 26)",190.0,-1.215583
4099,"(3, 33)","(2, 26)",200.0,-1.315583
4100,"(2, 26)","(1, 27)",10.0,1.327886
4101,"(2, 26)","(1, 27)",20.0,1.227886
4102,"(2, 26)","(1, 28)",30.0,1.127886
4103,"(2, 26)","(1, 26)",40.0,1.027886
4104,"(2, 26)","(1, 26)",50.0,0.927886
4105,"(2, 26)","(1, 26)",60.0,0.827886
4106,"(2, 26)","(1, 26)",70.0,0.727886
4107,"(2, 26)","(1, 26)",80.0,0.627886
4108,"(2, 26)","(1, 26)",90.0,0.527886
4109,"(2, 26)","(1, 26)",100.0,0.427886
4110,"(2, 26)","(1, 26)",110.0,0.327886
4111,"(2, 26)","(1, 26)",120.0,0.227886
4112,"(2, 26)","(1, 26)",130.0,0.127886
4113,"(2, 26)","(1, 26)",140.0,0.027886
4114,"(2, 26)","(1, 26)",150.0,-0.072114
4115,"(2, 26)","(1, 26)",160.0,-0.172114
4116,"(2, 26)","(1, 26)",170.0,-0.272114
4117,"(2, 26)","(1, 26)",180.0,-0.372114
4118,"(2, 26)","(1, 26)",190.0,-0.472114
4119,"(2, 26)","(1, 26)",200.0,-0.572114
4120,"(2, 27)","(1, 27)",10.0,0.538085
4121,"(2, 27)","(1, 27)",20.0,0.438085
4122,"(2, 27)","(1, 28)",30.0,0.338085
4123,"(2, 27)","(1, 26)",40.0,0.238085
4124,"(2, 27)","(1, 26)",50.0,0.138085
4125,"(2, 27)","(1, 26)",60.0,0.038085
4126,"(2, 27)","(1, 26)",70.0,-0.061915
4127,"(2, 27)","(1, 26)",80.0,-0.161915
4128,"(2, 27)","(1, 26)",90.0,-0.261915
4129,"(2, 27)","(1, 26)",100.0,-0.361915
4130,"(2, 27)","(1, 26)",110.0,-0.461915
4131,"(2, 27)","(1, 26)",120.0,-0.561915
4132,"(2, 27)","(1, 26)",130.0,-0.661915
4133,"(2, 27)","(1, 26)",140.0,-0.761915
4134,"(2, 27)","(1, 26)",150.0,-0.861915
4135,"(2, 27)","(1, 26)",160.0,-0.961915
4136,"(2, 27)","(1, 26)",170.0,-1.061915
4137,"(2, 27)","(1, 26)",180.0,-1.161915
4138,"(2, 27)","(1, 26)",190.0,-1.261915
4139,"(2, 27)","(1, 26)",200.0,-1.361915
4140,"(2, 26)","(1, 27)",10.0,1.353889
4141,"(2, 26)","(1, 27)",20.0,1.253889
4142,"(2, 26)","(1, 28)",30.0,1.153889
4143,"(2, 26)","(1, 26)",40.0,1.053889
4144,"(2, 26)","(1, 26)",50.0,0.953889
4145,"(2, 26)","(1, 26)",60.0,0.853889
4146,"(2, 26)","(1, 26)",70.0,0.753889
4147,"(2, 26)","(1, 26)",80.0,0.653889
4148,"(2, 26)","(1, 26)",90.0,0.553889
4149,"(2, 26)","(1, 26)",100.0,0.453889
4150,"(2, 26)","(1, 26)",110.0,0.353889
4151,"(2, 26)","(1, 26)",120.0,0.253889
4152,"(2, 26)","(1, 26)",130.0,0.153889
4153,"(2, 26)","(1, 26)",140.0,0.053889
4154,"(2, 26)","(1, 26)",150.0,-0.046111
4155,"(2, 26)","(1, 26)",160.0,-0.146111
4156,"(2, 26)","(1, 26)",170.0,-0.246111
4157,"(2, 26)","(1, 26)",180.0,-0.346111
4158,"(2, 26)","(1, 26)",190.0,-0.446111
4159,"(2, 26)","(1, 26)",200.0,-0.546111
4160,"(1, 26)","(2, 26)",10.0,3.318404
4161,"(1, 26)","(2, 26)",20.0,4.59336
4162,"(1, 26)","(2, 26)",30.0,4.49336
4163,"(1, 26)","(2, 26)",40.0,4.39336
4164,"(1, 26)","(2, 26)",50.0,4.29336
4165,"(1, 26)","(2, 26)",60.0,4.19336
4166,"(1, 26)","(2, 26)",70.0,4.09336
4167,"(1, 26)","(2, 26)",80.0,3.99336
4168,"(1, 26)","(2, 26)",90.0,3.89336
4169,"(1, 26)","(2, 26)",100.0,0.60338
4170,"(1, 26)","(2, 26)",110.0,-3.638607
4171,"(1, 26)","(2, 26)",120.0,-7.85459
4172,"(1, 26)","(2, 26)",130.0,-12.044572
4173,"(1, 26)","(2, 26)",140.0,-16.208551
4174,"(1, 26)","(2, 26)",150.0,-20.346528
4175,"(1, 26)","(2, 26)",160.0,-24.458502
4176,"(1, 26)","(2, 26)",170.0,-28.544474
4177,"(1, 26)","(2, 26)",180.0,-32.604444
4178,"(1, 26)","(2, 26)",190.0,-36.638412
4179,"(1, 26)","(2, 26)",200.0,-40.646377
4180,"(1, 26)","(2, 26)",10.0,-0.1
4181,"(1, 26)","(2, 26)",20.0,-0.2
4182,"(1, 26)","(2, 26)",30.0,-0.3
4183,"(1, 26)","(2, 26)",40.0,-0.4
4184,"(1, 26)","(2, 26)",50.0,-0.5
4185,"(1, 26)","(2, 26)",60.0,-0.6
4186,"(1, 26)","(2, 26)",70.0,-0.7
4187,"(1, 26)","(2, 26)",80.0,-0.8
4188,"(1, 26)","(2, 26)",90.0,-0.9
4189,"(1, 26)","(2, 26)",100.0,-1.0
4190,"(1, 26)","(2, 26)",110.0,-1.1
4191,"(1, 26)","(2, 26)",120.0,-1.2
4192,"(1, 26)","(2, 26)",130.0,-1.3
4193,"(1, 26)","(2, 26)",140.0,-1.4
4194,"(1, 26)","(2, 26)",150.0,-1.5
4195,"(1, 26)","(2, 26)",160.0,-1.6
4196,"(1, 26)","(2, 26)",170.0,-1.7
4197,"(1, 26)","(2, 26)",180.0,-1.8
4198,"(1, 26)","(2, 26)",190.0,-1.9
4199,"(1, 26)","(2, 26)",200.0,-2.0
4200,"(1, 26)","(2, 26)",10.0,0.31625
4201,"(1, 26)","(2, 26)",20.0,0.21625
4202,"(1, 26)","(2, 26)",30.0,0.11625
4203,"(1, 26)","(2, 26)",40.0,0.01625
4204,"(1, 26)","(2, 26)",50.0,-0.08375
4205,"(1, 26)","(2, 26)",60.0,-0.18375
4206,"(1, 26)","(2, 26)",70.0,-0.28375
4207,"(1, 26)","(2, 26)",80.0,-0.38375
4208,"(1, 26)","(2, 26)",90.0,-0.48375
4209,"(1, 26)","(2, 26)",100.0,-0.58375
4210,"(1, 26)","(2, 26)",110.0,-0.68375
4211,"(1, 26)","(2, 26)",120.0,-0.78375
4212,"(1, 26)","(2, 26)",130.0,-0.88375
4213,"(1, 26)","(2, 26)",140.0,-0.98375
4214,"(1, 26)","(2, 26)",150.0,-1.08375
4215,"(1, 26)","(2, 26)",160.0,-1.18375
4216,"(1, 26)","(2, 26)",170.0,-1.28375
4217,"(1, 26)","(2, 26)",180.0,-1.38375
4218,"(1, 26)","(2, 26)",190.0,-1.48375
4219,"(1, 26)","(2, 26)",200.0,-1.58375
4220,"(2, 26)","(2, 26)",10.0,0.924135
4221,"(2, 26)","(2, 26)",20.0,0.84616
4222,"(2, 26)","(2, 27)",30.0,0.74616
4223,"(2, 26)","(2, 27)",40.0,0.64616
4224,"(2, 26)","(2, 27)",50.0,0.54616
4225,"(2, 26)","(2, 27)",60.0,0.44616
4226,"(2, 26)","(2, 28)",70.0,0.34616
4227,"(2, 26)","(2, 28)",80.0,0.24616
4228,"(2, 26)","(2, 28)",90.0,0.14616
4229,"(2, 26)","(2, 28)",100.0,0.04616
4230,"(2, 26)","(2, 29)",110.0,-0.05384
4231,"(2, 26)","(2, 29)",120.0,-0.15384
4232,"(2, 26)","(2, 29)",130.0,-0.25384
4233,"(2, 26)","(2, 28)",140.0,-0.35384
4234,"(2, 26)","(2, 28)",150.0,-0.45384
4235,"(2, 26)","(2, 28)",160.0,-0.55384
4236,"(2, 26)","(2, 27)",170.0,-0.65384
4237,"(2, 26)","(2, 27)",180.0,-0.75384
4238,"(2, 26)","(2, 26)",190.0,-0.85384
4239,"(2, 26)","(2, 25)",200.0,-0.95384
4240,"(2, 26)","(2, 26)",10.0,0.89494
4241,"(2, 26)","(2, 26)",20.0,0.79494
4242,"(2, 26)","(2, 27)",30.0,0.69494
4243,"(2, 26)","(2, 27)",40.0,0.59494
4244,"(2, 26)","(2, 27)",50.0,0.49494
4245,"(2, 26)","(2, 27)",60.0,0.39494
4246,"(2, 26)","(2, 28)",70.0,0.29494
4247,"(2, 26)","(2, 28)",80.0,0.19494
4248,"(2, 26)","(2, 28)",90.0,0.09494
4249,"(2, 26)","(2, 28)",100.0,-0.00506
4250,"(2, 26)","(2, 29)",110.0,-0.10506
4251,"(2, 26)","(2, 29)",120.0,-0.20506
4252,"(2, 26)","(2, 29)",130.0,-0.30506
4253,"(2, 26)","(2, 28)",140.0,-0.40506
4254,"(2, 26)","(2, 28)",150.0,-0.50506
4255,"(2, 26)","(2, 28)",160.0,-0.60506
4256,"(2, 26)","(2, 27)",170.0,-0.70506
4257,"(2, 26)","(2, 27)",180.0,-0.80506
4258,"(2, 26)","(2, 26)",190.0,-0.90506
4259,"(2, 26)","(2, 25)",200.0,-1.00506
4260,"(2, 26)","(2, 26)",10.0,0.868045
4261,"(2, 26)","(2, 26)",20.0,0.91388
4262,"(2, 26)","(2, 27)",30.0,0.81388
4263,"(2, 26)","(2, 27)",40.0,0.71388
4264,"(2, 26)","(2, 27)",50.0,0.61388
4265,"(2, 26)","(2, 27)",60.0,0.51388
4266,"(2, 26)","(2, 28)",70.0,0.41388
4267,"(2, 26)","(2, 28)",80.0,0.31388
4268,"(2, 26)","(2, 28)",90.0,0.21388
4269,"(2, 26)","(2, 28)",100.0,0.11388
4270,"(2, 26)","(2, 29)",110.0,0.01388
4271,"(2, 26)","(2, 29)",120.0,-0.08612
4272,"(2, 26)","(2, 29)",130.0,-0.18612
4273,"(2, 26)","(2, 28)",140.0,-0.28612
4274,"(2, 26)","(2, 28)",150.0,-0.38612
4275,"(2, 26)","(2, 28)",160.0,-0.48612
4276,"(2, 26)","(2, 27)",170.0,-0.58612
4277,"(2, 26)","(2, 27)",180.0,-0.68612
4278,"(2, 26)","(2, 26)",190.0,-0.78612
4279,"(2, 26)","(2, 25)",200.0,-0.88612
4280,"(2, 28)","(2, 26)",10.0,0.445592
4281,"(2, 28)","(2, 26)",20.0,0.434208
4282,"(2, 28)","(2, 27)",30.0,0.334208
4283,"(2, 28)","(2, 27)",40.0,0.234208
4284,"(2, 28)","(2, 27)",50.0,0.134208
4285,"(2, 28)","(2, 28)",60.0,0.034208
4286,"(2, 28)","(2, 28)",70.0,-0.065792
4287,"(2, 28)","(2, 28)",80.0,-0.165792
4288,"(2, 28)","(2, 29)",90.0,-0.265792
4289,"(2, 28)","(2, 26)",100.0,-0.365792
4290,"(2, 28)","(2, 26)",110.0,-0.465792
4291,"(2, 28)","(2, 26)",120.0,-0.565792
4292,"(2, 28)","(2, 26)",130.0,-0.665792
4293,"(2, 28)","(2, 26)",140.0,-0.765792
4294,"(2, 28)","(2, 26)",150.0,-0.865792
4295,"(2, 28)","(2, 26)",160.0,-0.965792
4296,"(2, 28)","(2, 26)",170.0,-1.065792
4297,"(2, 28)","(2, 26)",180.0,-1.165792
4298,"(2, 28)","(2, 26)",190.0,-1.265792
4299,"(2, 28)","(2, 26)",200.0,-1.365792
4300,"(2, 29)","(2, 26)",10.0,0.4042
4301,"(2, 29)","(2, 26)",20.0,0.3042
4302,"(2, 29)","(2, 27)",30.0,0.2042
4303,"(2, 29)","(2, 27)",40.0,0.1042
4304,"(2, 29)","(2, 27)",50.0,0.0042
4305,"(2, 29)","(2, 28)",60.0,-0.0958
4306,"(2, 29)","(2, 28)",70.0,-0.1958
4307,"(2, 29)","(2, 28)",80.0,-0.2958
4308,"(2, 29)","(2, 29)",90.0,-0.3958
4309,"(2, 29)","(2, 26)",100.0,-0.4958
4310,"(2, 29)","(2, 26)",110.0,-0.5958
4311,"(2, 29)","(2, 26)",120.0,-0.6958
4312,"(2, 29)","(2, 26)",130.0,-0.7958
4313,"(2, 29)","(2, 26)",140.0,-0.8958
4314,"(2, 29)","(2, 26)",150.0,-0.9958
4315,"(2, 29)","(2, 26)",160.0,-1.0958
4316,"(2, 29)","(2, 26)",170.0,-1.1958
4317,"(2, 29)","(2, 26)",180.0,-1.2958
4318,"(2, 29)","(2, 26)",190.0,-1.3958
4319,"(2, 29)","(2, 26)",200.0,-1.4958
4320,"(2, 27)","(2, 26)",10.0,0.900218
4321,"(2, 27)","(2, 26)",20.0,1.261351
4322,"(2, 27)","(2, 27)",30.0,1.207825
4323,"(2, 27)","(2, 27)",40.0,1.107825
4324,"(2, 27)","(2, 27)",50.0,1.007825
4325,"(2, 27)","(2, 28)",60.0,0.907825
4326,"(2, 27)","(2, 28)",70.0,0.807825
4327,"(2, 27)","(2, 28)",80.0,0.707825
4328,"(2, 27)","(2, 29)",90.0,0.607825
4329,"(2, 27)","(2, 26)",100.0,0.507825
4330,"(2, 27)","(2, 26)",110.0,0.407825
4331,"(2, 27)","(2, 26)",120.0,0.307825
4332,"(2, 27)","(2, 26)",130.0,0.207825
4333,"(2, 27)","(2, 26)",140.0,0.107825
4334,"(2, 27)","(2, 26)",150.0,0.007825
4335,"(2, 27)","(2, 26)",160.0,-0.092175
4336,"(2, 27)","(2, 26)",170.0,-0.192175
4337,"(2, 27)","(2, 26)",180.0,-0.292175
4338,"(2, 27)","(2, 26)",190.0,-0.392175
4339,"(2, 27)","(2, 26)",200.0,-0.492175
4340,"(2, 26)","(1, 26)",10.0,-0.557925
4341,"(2, 26)","(1, 26)",20.0,-2.919385
4342,"(2, 26)","(1, 26)",30.0,-6.014527
4343,"(2, 26)","(1, 26)",40.0,-9.451533
4344,"(2, 26)","(1, 26)",50.0,-13.066686
4345,"(2, 26)","(1, 26)",60.0,-16.686991
4346,"(2, 26)","(1, 26)",70.0,-20.275253
4347,"(2, 26)","(1, 26)",80.0,-23.816725
4348,"(2, 26)","(1, 26)",90.0,-27.298204
4349,"(2, 26)","(1, 26)",100.0,-30.722481
4350,"(2, 26)","(1, 26)",110.0,-34.085217
4351,"(2, 26)","(1, 26)",120.0,-37.382621
4352,"(2, 26)","(1, 26)",130.0,-40.618662
4353,"(2, 26)","(1, 26)",140.0,-43.786142
4354,"(2, 26)","(1, 26)",150.0,-46.880972
4355,"(2, 26)","(1, 26)",160.0,-49.925388
4356,"(2, 26)","(1, 26)",170.0,-52.906893
4357,"(2, 26)","(1, 26)",180.0,-55.823736
4358,"(2, 26)","(1, 26)",190.0,-58.680129
4359,"(2, 26)","(1, 26)",200.0,-61.476789
4360,"(2, 26)","(1, 26)",10.0,0.200773
4361,"(2, 26)","(1, 26)",20.0,0.100773
4362,"(2, 26)","(1, 26)",30.0,0.000773
4363,"(2, 26)","(1, 26)",40.0,-0.467647
4364,"(2, 26)","(1, 26)",50.0,-1.747251
4365,"(2, 26)","(1, 26)",60.0,-3.235907
4366,"(2, 26)","(1, 26)",70.0,-6.01857
4367,"(2, 26)","(1, 26)",80.0,-9.560042
4368,"(2, 26)","(1, 26)",90.0,-13.041516
4369,"(2, 26)","(1, 26)",100.0,-16.465845
4370,"(2, 26)","(1, 26)",110.0,-19.828534
4371,"(2, 26)","(1, 26)",120.0,-23.125932
4372,"(2, 26)","(1, 26)",130.0,-26.36198
4373,"(2, 26)","(1, 26)",140.0,-29.531305
4374,"(2, 26)","(1, 26)",150.0,-32.636095
4375,"(2, 26)","(1, 26)",160.0,-35.685422
4376,"(2, 26)","(1, 26)",170.0,-38.661153
4377,"(2, 26)","(1, 26)",180.0,-41.57069
4378,"(2, 26)","(1, 26)",190.0,-44.415649
4379,"(2, 26)","(1, 26)",200.0,-47.189698
4380,"(2, 26)","(1, 26)",10.0,-0.604702
4381,"(2, 26)","(1, 26)",20.0,-1.468228
4382,"(2, 26)","(1, 26)",30.0,-4.481237
4383,"(2, 26)","(1, 26)",40.0,-7.918244
4384,"(2, 26)","(1, 26)",50.0,-11.533396
4385,"(2, 26)","(1, 26)",60.0,-15.153442
4386,"(2, 26)","(1, 26)",70.0,-18.741964
4387,"(2, 26)","(1, 26)",80.0,-22.283436
4388,"(2, 26)","(1, 26)",90.0,-25.764915
4389,"(2, 26)","(1, 26)",100.0,-29.189205
4390,"(2, 26)","(1, 26)",110.0,-32.551928
4391,"(2, 26)","(1, 26)",120.0,-35.849331
4392,"(2, 26)","(1, 26)",130.0,-39.085374
4393,"(2, 26)","(1, 26)",140.0,-42.252853
4394,"(2, 26)","(1, 26)",150.0,-45.350329
4395,"(2, 26)","(1, 26)",160.0,-48.40027
4396,"(2, 26)","(1, 26)",170.0,-51.379486
4397,"(2, 26)","(1, 26)",180.0,-54.297798
4398,"(2, 26)","(1, 26)",190.0,-57.156616
4399,"(2, 26)","(1, 26)",200.0,-59.955067
4400,"(1, 26)","(2, 26)",10.0,2.87558
4401,"(1, 26)","(2, 26)",20.0,2.77558
4402,"(1, 26)","(2, 26)",30.0,2.67558
4403,"(1, 26)","(2, 26)",40.0,2.57558
4404,"(1, 26)","(2, 26)",50.0,2.47558
4405,"(1, 26)","(2, 26)",60.0,2.37558
4406,"(1, 26)","(2, 26)",70.0,2.27558
4407,"(1, 26)","(2, 26)",80.0,2.17558
4408,"(1, 26)","(2, 26)",90.0,2.07558
4409,"(1, 26)","(2, 26)",100.0,1.97558
4410,"(1, 26)","(2, 26)",110.0,1.87558
4411,"(1, 26)","(2, 26)",120.0,1.77558
4412,"(1, 26)","(2, 26)",130.0,1.67558
4413,"(1, 26)","(2, 26)",140.0,1.57558
4414,"(1, 26)","(2, 26)",150.0,1.47558
4415,"(1, 26)","(2, 26)",160.0,1.37558
4416,"(1, 26)","(2, 26)",170.0,1.27558
4417,"(1, 26)","(2, 26)",180.0,1.17558
4418,"(1, 26)","(2, 26)",190.0,1.07558
4419,"(1, 26)","(2, 26)",200.0,0.97558
4420,"(1, 26)","(2, 26)",10.0,4.516791
4421,"(1, 26)","(2, 26)",20.0,5.44317
4422,"(1, 26)","(2, 26)",30.0,5.34317
4423,"(1, 26)","(2, 26)",40.0,5.24317
4424,"(1, 26)","(2, 26)",50.0,5.14317
4425,"(1, 26)","(2, 26)",60.0,5.04317
4426,"(1, 26)","(2, 26)",70.0,4.94317
4427,"(1, 26)","(2, 26)",80.0,4.84317
4428,"(1, 26)","(2, 26)",90.0,4.74317
4429,"(1, 26)","(2, 26)",100.0,4.64317
4430,"(1, 26)","(2, 26)",110.0,4.54317
4431,"(1, 26)","(2, 26)",120.0,4.44317
4432,"(1, 26)","(2, 26)",130.0,4.34317
4433,"(1, 26)","(2, 26)",140.0,4.24317
4434,"(1, 26)","(2, 26)",150.0,2.572083
4435,"(1, 26)","(2, 26)",160.0,-0.974462
4436,"(1, 26)","(2, 26)",170.0,-4.499114
4437,"(1, 26)","(2, 26)",180.0,-8.001873
4438,"(1, 26)","(2, 26)",190.0,-11.482738
4439,"(1, 26)","(2, 26)",200.0,-14.94171
4440,"(1, 26)","(2, 26)",10.0,1.872716
4441,"(1, 26)","(2, 26)",20.0,3.575027
4442,"(1, 26)","(2, 26)",30.0,5.475747
4443,"(1, 26)","(2, 26)",40.0,7.365478
4444,"(1, 26)","(2, 26)",50.0,8.321314
4445,"(1, 26)","(2, 26)",60.0,6.945067
4446,"(1, 26)","(2, 26)",70.0,3.797901
4447,"(1, 26)","(2, 26)",80.0,0.362723
4448,"(1, 26)","(2, 26)",90.0,-3.079886
4449,"(1, 26)","(2, 26)",100.0,-6.719565
4450,"(1, 26)","(2, 26)",110.0,-10.336816
4451,"(1, 26)","(2, 26)",120.0,-13.931638
4452,"(1, 26)","(2, 26)",130.0,-17.504033
4453,"(1, 26)","(2, 26)",140.0,-21.053999
4454,"(1, 26)","(2, 26)",150.0,-24.581537
4455,"(1, 26)","(2, 26)",160.0,-28.086648
4456,"(1, 26)","(2, 26)",170.0,-31.56933
4457,"(1, 26)","(2, 26)",180.0,-35.029584
4458,"(1, 26)","(2, 26)",190.0,-38.467411
4459,"(1, 26)","(2, 26)",200.0,-41.882809
4461,"(2, 26)","(1, 27)",20.0,-0.2
4462,"(2, 26)","(1, 27)",30.0,-0.3
4463,"(2, 26)","(1, 27)",40.0,-0.4
4466,"(2, 26)","(1, 25)",70.0,-0.7
4467,"(2, 26)","(1, 25)",80.0,-0.8
4468,"(2, 26)","(1, 24)",90.0,-0.9
4469,"(2, 26)","(1, 23)",100.0,-1.0
4470,"(2, 26)","(1, 23)",110.0,-1.1
4471,"(2, 26)","(1, 22)",120.0,-1.2
4472,"(2, 26)","(1, 23)",130.0,-1.3
4473,"(2, 26)","(1, 26)",140.0,-1.4
4474,"(2, 26)","(1, 26)",150.0,-1.5
4475,"(2, 26)","(1, 26)",160.0,-1.6
4476,"(2, 26)","(1, 26)",170.0,-1.7
4520,"(1, 26)","(3, 26)",10.0,0.408077
4521,"(1, 26)","(3, 26)",20.0,0.622996
4522,"(1, 26)","(3, 26)",30.0,0.781925
4523,"(1, 26)","(3, 26)",40.0,0.939631
4524,"(1, 26)","(3, 26)",50.0,1.096113
4525,"(1, 26)","(3, 26)",60.0,0.970409
4526,"(1, 26)","(3, 26)",70.0,-2.48057
4527,"(1, 26)","(3, 26)",80.0,-5.910332
4528,"(1, 26)","(3, 27)",90.0,-9.318878
4529,"(1, 26)","(3, 27)",100.0,-12.706209
4530,"(1, 26)","(3, 27)",110.0,-16.072323
4531,"(1, 26)","(3, 27)",120.0,-19.417222
4532,"(1, 26)","(3, 27)",130.0,-22.740905
4533,"(1, 26)","(3, 27)",140.0,-26.043371
4534,"(1, 26)","(3, 27)",150.0,-29.324622
4535,"(1, 26)","(3, 27)",160.0,-32.584657
4536,"(1, 26)","(3, 26)",170.0,-35.823476
4537,"(1, 26)","(3, 26)",180.0,-39.041079
4538,"(1, 26)","(3, 26)",190.0,-42.237465
4539,"(1, 26)","(3, 26)",200.0,-45.412636
4540,"(1, 27)","(3, 26)",10.0,-0.099373
4541,"(1, 27)","(3, 26)",20.0,-0.199373
4542,"(1, 27)","(3, 26)",30.0,-0.299373
4543,"(1, 27)","(3, 26)",40.0,-0.399373
4544,"(1, 27)","(3, 26)",50.0,-0.499373
4545,"(1, 27)","(3, 26)",60.0,-0.599373
4546,"(1, 27)","(3, 26)",70.0,-0.699373
4547,"(1, 27)","(3, 26)",80.0,-0.799373
4548,"(1, 27)","(3, 27)",90.0,-0.899373
4549,"(1, 27)","(3, 27)",100.0,-0.999373
4550,"(1, 27)","(3, 27)",110.0,-1.099373
4551,"(1, 27)","(3, 27)",120.0,-1.199373
4552,"(1, 27)","(3, 27)",130.0,-1.299373
4553,"(1, 27)","(3, 27)",140.0,-1.399373
4554,"(1, 27)","(3, 27)",150.0,-1.499373
4555,"(1, 27)","(3, 27)",160.0,-1.599373
4556,"(1, 27)","(3, 26)",170.0,-1.699373
4557,"(1, 27)","(3, 26)",180.0,-1.799373
4558,"(1, 27)","(3, 26)",190.0,-1.899373
4559,"(1, 27)","(3, 26)",200.0,-1.999373
4560,"(1, 26)","(3, 26)",10.0,1.05689
4561,"(1, 26)","(3, 26)",20.0,1.912496
4562,"(1, 26)","(3, 26)",30.0,2.675607
