,state,state_p,act,r_disp
203,"(7.5e-05, 2.992)","(9.4e-05, 3.256)",40.0,1.130376
204,"(7.5e-05, 2.992)","(9.4e-05, 3.256)",50.0,1.116791
205,"(7.5e-05, 2.992)","(9.5e-05, 3.256)",60.0,1.095
206,"(7.5e-05, 2.992)","(9.7e-05, 3.256)",70.0,1.057857
207,"(7.5e-05, 2.992)","(9.9e-05, 3.256)",80.0,1.02993
208,"(7.5e-05, 2.992)","(0.000103, 3.256)",90.0,0.995816
209,"(7.5e-05, 2.992)","(0.000106, 3.256)",100.0,0.963245
210,"(7.5e-05, 2.992)","(0.00011, 3.256)",110.0,-1.068072
211,"(7.5e-05, 2.992)","(0.000115, 3.256)",120.0,-1.09268
212,"(7.5e-05, 2.992)","(0.00012, 3.256)",130.0,-1.117288
213,"(7.5e-05, 2.992)","(0.000125, 3.256)",140.0,-1.141895
214,"(7.5e-05, 2.992)","(0.00013, 3.256)",150.0,-1.166503
215,"(7.5e-05, 2.992)","(0.000135, 3.256)",160.0,-1.184575
216,"(7.5e-05, 2.992)","(0.000141, 3.256)",170.0,-1.209183
217,"(7.5e-05, 2.992)","(0.000146, 3.256)",180.0,-1.227255
218,"(7.5e-05, 2.992)","(0.000152, 3.256)",190.0,-1.245327
219,"(7.5e-05, 2.992)","(0.000158, 3.256)",200.0,-1.263399
220,"(5.1e-05, 2.992)","(9.9e-05, 3.256)",10.0,1.137857
221,"(5.1e-05, 2.992)","(9.7e-05, 3.256)",20.0,1.132857
222,"(5.1e-05, 2.992)","(9.5e-05, 3.256)",30.0,1.118333
223,"(5.1e-05, 2.992)","(9.4e-05, 3.256)",40.0,1.094754
224,"(5.1e-05, 2.992)","(9.4e-05, 3.256)",50.0,1.071774
225,"(5.1e-05, 2.992)","(9.5e-05, 3.256)",60.0,1.0325
226,"(5.1e-05, 2.992)","(9.7e-05, 3.256)",70.0,1.003168
227,"(5.1e-05, 2.992)","(9.9e-05, 3.256)",80.0,0.967407
228,"(5.1e-05, 2.992)","(0.000103, 3.256)",90.0,-1.067059
229,"(5.1e-05, 2.992)","(0.000106, 3.256)",100.0,-1.094118
230,"(5.1e-05, 2.992)","(0.00011, 3.256)",110.0,-1.128529
231,"(5.1e-05, 2.992)","(0.000115, 3.256)",120.0,-1.155588
232,"(5.1e-05, 2.992)","(0.00012, 3.256)",130.0,-1.182647
233,"(5.1e-05, 2.992)","(0.000125, 3.256)",140.0,-1.217059
234,"(5.1e-05, 2.992)","(0.00013, 3.256)",150.0,-1.251471
235,"(5.1e-05, 2.992)","(0.000135, 3.256)",160.0,-1.278529
236,"(5.1e-05, 2.992)","(0.000141, 3.256)",170.0,-1.312941
237,"(5.1e-05, 2.992)","(0.000146, 3.256)",180.0,-1.34
238,"(5.1e-05, 2.992)","(0.000152, 3.256)",190.0,-1.374412
239,"(5.1e-05, 2.992)","(0.000158, 3.256)",200.0,-1.401471
240,"(5.4e-05, 2.992)","(9.9e-05, 3.256)",10.0,1.126148
241,"(5.4e-05, 2.992)","(9.7e-05, 3.256)",20.0,1.130496
242,"(5.4e-05, 2.992)","(9.5e-05, 3.256)",30.0,1.116148
243,"(5.4e-05, 2.992)","(9.4e-05, 3.256)",40.0,1.101951
244,"(5.4e-05, 2.992)","(9.4e-05, 3.256)",50.0,1.070238
245,"(5.4e-05, 2.992)","(9.5e-05, 3.256)",60.0,1.039767
246,"(5.4e-05, 2.992)","(9.7e-05, 3.256)",70.0,1.002594
247,"(5.4e-05, 2.992)","(9.9e-05, 3.256)",80.0,0.974706
248,"(5.4e-05, 2.992)","(0.000103, 3.256)",90.0,-1.059493
249,"(5.4e-05, 2.992)","(0.000106, 3.256)",100.0,-1.093478
250,"(5.4e-05, 2.992)","(0.00011, 3.256)",110.0,-1.120217
251,"(5.4e-05, 2.992)","(0.000115, 3.256)",120.0,-1.146957
252,"(5.4e-05, 2.992)","(0.00012, 3.256)",130.0,-1.173696
253,"(5.4e-05, 2.992)","(0.000125, 3.256)",140.0,-1.200435
254,"(5.4e-05, 2.992)","(0.00013, 3.256)",150.0,-1.23442
255,"(5.4e-05, 2.992)","(0.000135, 3.256)",160.0,-1.261159
256,"(5.4e-05, 2.992)","(0.000141, 3.256)",170.0,-1.295145
257,"(5.4e-05, 2.992)","(0.000146, 3.256)",180.0,-1.321884
258,"(5.4e-05, 2.992)","(0.000152, 3.256)",190.0,-1.35587
259,"(5.4e-05, 2.992)","(0.000158, 3.256)",200.0,-1.382609
260,"(9.7e-05, 3.256)","(8.4e-05, 2.156)",10.0,1.111129
261,"(9.7e-05, 3.256)","(8.4e-05, 2.156)",20.0,1.20831
262,"(9.7e-05, 3.256)","(8.5e-05, 2.156)",30.0,1.305611
263,"(9.7e-05, 3.256)","(8.6e-05, 2.156)",40.0,1.409752
264,"(9.7e-05, 3.256)","(8.7e-05, 2.156)",50.0,1.466379
265,"(9.7e-05, 3.256)","(8.9e-05, 2.156)",60.0,1.514643
266,"(9.7e-05, 3.256)","(9.1e-05, 2.156)",70.0,1.537727
267,"(9.7e-05, 3.256)","(9.2e-05, 2.156)",80.0,1.547156
268,"(9.7e-05, 3.256)","(9.3e-05, 2.156)",90.0,1.556852
269,"(9.7e-05, 3.256)","(9.4e-05, 2.156)",100.0,1.551852
270,"(9.7e-05, 3.256)","(9.4e-05, 2.156)",110.0,1.546852
271,"(9.7e-05, 3.256)","(9.4e-05, 2.156)",120.0,1.527156
272,"(9.7e-05, 3.256)","(9.3e-05, 2.156)",130.0,1.479643
273,"(9.7e-05, 3.256)","(9.3e-05, 2.156)",140.0,1.421379
274,"(9.7e-05, 3.256)","(9.3e-05, 2.156)",150.0,1.366667
275,"(9.7e-05, 3.256)","(9.4e-05, 2.156)",160.0,1.326504
276,"(9.7e-05, 3.256)","(9.5e-05, 2.156)",170.0,1.277205
277,"(9.7e-05, 3.256)","(9.6e-05, 2.156)",180.0,1.240769
278,"(9.7e-05, 3.256)","(9.7e-05, 2.156)",190.0,1.196045
279,"(9.7e-05, 3.256)","(9.9e-05, 2.156)",200.0,1.162774
280,"(0.000146, 3.256)","(8.4e-05, 2.156)",10.0,1.144733
281,"(0.000146, 3.256)","(8.4e-05, 2.156)",20.0,1.277425
282,"(0.000146, 3.256)","(8.5e-05, 2.156)",30.0,1.408841
283,"(0.000146, 3.256)","(8.6e-05, 2.156)",40.0,1.452603
284,"(0.000146, 3.256)","(8.7e-05, 2.156)",50.0,1.447603
285,"(0.000146, 3.256)","(8.9e-05, 2.156)",60.0,1.442603
286,"(0.000146, 3.256)","(9.1e-05, 2.156)",70.0,1.437603
287,"(0.000146, 3.256)","(9.2e-05, 2.156)",80.0,1.432603
288,"(0.000146, 3.256)","(9.3e-05, 2.156)",90.0,1.427603
289,"(0.000146, 3.256)","(9.4e-05, 2.156)",100.0,1.422603
290,"(0.000146, 3.256)","(9.4e-05, 2.156)",110.0,1.417603
291,"(0.000146, 3.256)","(9.4e-05, 2.156)",120.0,1.412603
292,"(0.000146, 3.256)","(9.3e-05, 2.156)",130.0,1.407603
293,"(0.000146, 3.256)","(9.3e-05, 2.156)",140.0,1.402603
294,"(0.000146, 3.256)","(9.3e-05, 2.156)",150.0,1.397603
295,"(0.000146, 3.256)","(9.4e-05, 2.156)",160.0,1.392603
296,"(0.000146, 3.256)","(9.5e-05, 2.156)",170.0,1.387603
297,"(0.000146, 3.256)","(9.6e-05, 2.156)",180.0,1.382603
298,"(0.000146, 3.256)","(9.7e-05, 2.156)",190.0,1.377603
299,"(0.000146, 3.256)","(9.9e-05, 2.156)",200.0,1.372603
300,"(0.000135, 3.256)","(8.4e-05, 2.156)",10.0,1.127597
301,"(0.000135, 3.256)","(8.4e-05, 2.156)",20.0,1.255432
302,"(0.000135, 3.256)","(8.5e-05, 2.156)",30.0,1.379558
303,"(0.000135, 3.256)","(8.6e-05, 2.156)",40.0,1.498519
304,"(0.000135, 3.256)","(8.7e-05, 2.156)",50.0,1.493519
305,"(0.000135, 3.256)","(8.9e-05, 2.156)",60.0,1.488519
306,"(0.000135, 3.256)","(9.1e-05, 2.156)",70.0,1.483519
307,"(0.000135, 3.256)","(9.2e-05, 2.156)",80.0,1.478519
308,"(0.000135, 3.256)","(9.3e-05, 2.156)",90.0,1.473519
309,"(0.000135, 3.256)","(9.4e-05, 2.156)",100.0,1.468519
310,"(0.000135, 3.256)","(9.4e-05, 2.156)",110.0,1.463519
311,"(0.000135, 3.256)","(9.4e-05, 2.156)",120.0,1.458519
312,"(0.000135, 3.256)","(9.3e-05, 2.156)",130.0,1.453519
313,"(0.000135, 3.256)","(9.3e-05, 2.156)",140.0,1.448519
314,"(0.000135, 3.256)","(9.3e-05, 2.156)",150.0,1.443519
315,"(0.000135, 3.256)","(9.4e-05, 2.156)",160.0,1.438519
